Name,Price,Rating,Review Count,City,Country,Latitude,Longitude,Categories
Yokot´an,$$,4.0,4,San Pedro Garza Garcia,MX,25.658067,-100.368201,"['mexican', 'cafeteria']"
Los Generales,$$,3.0,2,San Nicolás de los Garza,MX,25.7448972372538,-100.311847776175,['mexican']
El Rey del Taco,$$,4.5,4,Centro,MX,25.678123823582,-100.330987821826,['mexican']
El Lindero,$$,3.5,10,Monterrey,MX,25.6707172136706,-100.337646192843,['mexican']
Neuquén,$$$,3.5,28,Monterrey,MX,25.669824,-100.308286,"['argentine', 'pizza']"
Ikkyu,$$$,4.0,5,Zona Valle del Mezquite,MX,25.6561683281884,-100.387248985358,"['ramen', 'teppanyaki', 'izakaya']"
Boquiaches,$,4.5,10,Monterrey,MX,25.6377857447909,-100.316224751767,['breakfast_brunch']
La Gran Muralla Express,$$,4.5,5,Monterrey,MX,25.635677935671,-100.313750679507,['chinese']
Los Generales,$$,3.5,8,Monterrey,MX,25.6622138003382,-100.283692171469,['buffets']
Costeñito,$$,3.0,2,Escobedo,MX,25.76918,-100.28152,['seafood']
Taller Vegánico,$$,4.5,22,Tampiquito,MX,25.6506145802794,-100.382939509333,['vegan']
Pescaderias Martinez Tijerina,$$,4.5,15,Monterrey,MX,25.7065104366642,-100.370944833534,['seafood']
China & out,$,5.0,1,San Pedro Garza García,MX,25.6559094896348,-100.387060704597,['chinese']
Los Bainas,$,5.0,1,Monterrey,MX,25.6268997,-100.2988586,['tacos']
Tacos Mañaneros Cabañas,$,5.0,1,Monterrey,MX,25.6270301137593,-100.298841074109,"['breakfast_brunch', 'tacos']"
El Reten,$,4.0,1,Monterrey,MX,25.624787,-100.29949,['burgers']
Horno 400,$$,4.0,11,Monterrey,MX,25.6550844816518,-100.293171232932,"['pizza', 'italian']"
